Name,Neighborhood,Address,Latitude,Longitude,Cuisine Type,Service Style,Meal Focus,Description,Vegan,Gluten‑Free,Dairy‑Free
Flipside Memphis,Midtown,"1349 Autumn Ave, Memphis, TN 38104",35.15110973,-90.01420481,"American, Bar Food","Casual, Bar","Lunch, Dinner","Flipside Memphis offers a lively, modern environment for casual dining and drinks. Menu features shareable plates, burgers, rice-bowls, and salads. Gluten-free and vegetarian options are clearly marked, making it inclusive for groups with diverse preferences.",0,1,0
Flying Saucer Draught Emporium,Downtown Memphis,"130 Peabody Pl, Memphis, TN 38103",35.29355105,-90.09716052,"Bar & Grill, American","Casual, Pub","Lunch, Dinner","Flying Saucer is known for an extensive craft beer selection in a casual pub setting. Food menu includes pretzels, burgers, flatbreads, gluten-free pizza crust, gluten-free garlic bread, and customizable GF salads, steaks, seafood, and chicken dishes. Vegetarian options include cheese plates and salads.",0,1,0
Folk's Folly Prime Steak House,East Memphis,"551 S Mendenhall Rd, Memphis, TN 38117",35.11609656,-89.8958107,"Steakhouse, American","Upscale, Fine Dining",Dinner,"Folk’s Folly offers a classic steakhouse experience with premium beef cuts, seafood, and rich sides. While meat-focused, vegetarians can enjoy salads and sides. Many items are naturally gluten-free. The intimate setting suits celebrations and special occasions.",0,1,0
Germantown Commissary,Germantown,"2290 S Germantown Rd, Germantown, TN 38138",35.08658388,-89.81009105,"BBQ, Southern","Casual, Family-style","Lunch, Dinner","Germantown Commissary serves authentic Memphis barbecue in a rustic, welcoming space. Famous for slow-smoked ribs and pulled pork, most items are naturally gluten-free. Vegetarian options include classic Southern sides like baked beans, potato salad, and coleslaw.",0,1,0
Hammer and Ale,Midtown,"921 Cooper St, Memphis, TN 38104",35.12058983,-89.9906856,"Bar & Grill, American","Casual, Pub","Lunch, Dinner",Hammer and Ale offers a cozy neighborhood bar with craft beers and pub fare. Vegetarian options include salads and veggie burgers. The friendly vibe and local beer selection make it great for casual gatherings.,0,0,0
Hog & Hominy,East Memphis,"707 W Brookhaven Cir, Memphis, TN 38117",35.11285553,-89.89065238,"Italian, Southern, Pizza","Casual, Family-style","Lunch, Dinner","Hog & Hominy blends Southern comfort with Italian classics, including wood-fired pizzas and inventive small plates. Gluten-free crusts and modifiable dishes are available for inclusivity.",0,1,0
Huey’s,Cordova,"1771 N Germantown Pkwy, Cordova, TN 38016",35.17468744,-89.79351281,"American, Bar Food","Casual, Family-style","Lunch, Dinner","Huey’s serves classic burgers, sandwiches, and pub favorites in a lively setting. Vegetarian-friendly burgers, salads, and appetizers are available, and the menu accommodates gluten-free diners with clearly marked adjustments.",0,1,0
Huey’s,Germantown,"7677 Farmington Blvd, Germantown, TN 38138",35.09470355,-89.80699092,"American, Bar Food","Casual, Family-style","Lunch, Dinner","Huey’s serves classic burgers, sandwiches, and pub favorites in a lively setting. Vegetarian-friendly burgers, salads, and appetizers are available, and the menu accommodates gluten-free diners with clearly marked adjustments.",0,1,0
Huey’s,Millington,"8570 US-51, Millington, TN 38053",35.36045695,-89.89090704,"American, Bar Food","Casual, Family-style","Lunch, Dinner","Huey’s serves classic burgers, sandwiches, and pub favorites in a lively setting. Vegetarian-friendly burgers, salads, and appetizers are available, and the menu accommodates gluten-free diners with clearly marked adjustments.",0,1,0
Huey’s,Midtown,"1927 Madison Ave, Memphis, TN 38104",35.13757083,-89.99639594,"American, Bar Food","Casual, Family-style","Lunch, Dinner","Huey’s serves classic burgers, sandwiches, and pub favorites in a lively setting. Vegetarian-friendly burgers, salads, and appetizers are available, and the menu accommodates gluten-free diners with clearly marked adjustments.",0,1,0
Huey’s,East Memphis,"4872 Poplar Ave, Memphis, TN 38117",35.11483728,-89.89894255,"American, Bar Food","Casual, Family-style","Lunch, Dinner","Huey’s serves classic burgers, sandwiches, and pub favorites in a lively setting. Vegetarian-friendly burgers, salads, and appetizers are available, and the menu accommodates gluten-free diners with clearly marked adjustments.",0,1,0
Huey’s,Downtown Memphis,"77 S 2nd St, Memphis, TN 38103",35.14312511,-90.05190173,"American, Bar Food","Casual, Family-style","Lunch, Dinner","Huey’s serves classic burgers, sandwiches, and pub favorites in a lively setting. Vegetarian-friendly burgers, salads, and appetizers are available, and the menu accommodates gluten-free diners with clearly marked adjustments.",0,1,0
Huey’s,Collierville,"2130 W Poplar Ave Suite 101, Collierville, TN 38017",35.05307422,-89.73289404,"American, Bar Food","Casual, Family-style","Lunch, Dinner","Huey’s serves classic burgers, sandwiches, and pub favorites in a lively setting. Vegetarian-friendly burgers, salads, and appetizers are available, and the menu accommodates gluten-free diners with clearly marked adjustments.",0,1,0
Huey’s,North Mississippi,"8179 McGregor Xing Suite 200, Olive Branch, MS 38654",34.97170868,-89.84494881,"American, Bar Food","Casual, Family-style","Lunch, Dinner","Huey’s serves classic burgers, sandwiches, and pub favorites in a lively setting. Vegetarian-friendly burgers, salads, and appetizers are available, and the menu accommodates gluten-free diners with clearly marked adjustments.",0,1,0
Huey’s,Southaven,"7090 Malco Blvd, Southaven, MS 38671",34.96392552,-89.9852376,"American, Bar Food","Casual, Family-style","Lunch, Dinner","Huey’s serves classic burgers, sandwiches, and pub favorites in a lively setting. Vegetarian-friendly burgers, salads, and appetizers are available, and the menu accommodates gluten-free diners with clearly marked adjustments.",0,1,0
Huey’s,Southwind,"7825 Winchester Rd, Memphis, TN 38125",35.04761282,-89.80248468,"American, Bar Food","Casual, Family-style","Lunch, Dinner","Huey’s serves classic burgers, sandwiches, and pub favorites in a lively setting. Vegetarian-friendly burgers, salads, and appetizers are available, and the menu accommodates gluten-free diners with clearly marked adjustments.",0,1,0
Itta Bena,Beale Street,"145 Beale St, Memphis, TN 38103",35.1398292,-90.05299528,"Southern , Upscale",Fine Dining,"Dinner , Special Occasions","Located atop the Peabody Hotel, Itta Bena offers upscale Southern cuisine with a modern twist in an intimate, elegant setting. The menu highlights local ingredients, with options ranging from seafood to vegetarian dishes crafted with Southern flair. Gluten-free and dairy-free accommodations are available upon request, making it suitable for special occasions and those with dietary restrictions.",0,1,0
Jem,The Edge,"644 Madison Ave #102, Memphis, TN 38103",35.14177339,-90.03917364,"American , Bar & Grill",Casual Dining,"Lunch, Dinner","Jem features a relaxed bar and grill experience with a menu of hearty sandwiches, burgers, and creative bar snacks. The atmosphere is casual and inviting, popular for after-work hangouts. Vegetarian choices include salads and a veggie burger, and the kitchen is accommodating for gluten-free requests. The drink menu complements the food with a good range of local beers and classic cocktails.",0,1,0
King and Union Bar Grocery,Downtown Memphis,"185 Union Ave, Memphis, TN 38103",35.14256354,-90.0505522,"American , Gastropub","Casual , Upscale Bar","Lunch, Dinner","King and Union is a unique combination of craft cocktail bar and gourmet grocery offering an artisanal experience. The small plates menu features shareable dishes with vegetarian options, perfect for pairing with their expertly crafted drinks. They offer a selection of items that are naturally gluten-free or can be made gluten-free. The atmosphere is stylish yet comfortable, appealing to those seeking quality food and drink with a curated vibe.",0,1,0
Kooky Canuck,Downtown Memphis,"87 S 2nd St, Memphis, TN 38103",35.14274853,-90.05260374,"American , Bar & Grill",Casual Dining,"Lunch, Dinner","Kooky Canuck is a lively American bar and grill known for generous portions and a diverse menu including burgers, steaks, and seafood. Vegetarian options like salads and veggie burgers are available, alongside gluten-free choices. The fun, casual atmosphere and friendly service make it a popular spot for groups and casual dining in Memphis.",0,1,0
Lafayette's Music Room,Midtown,"2119 Madison Ave, Memphis, TN 38104",35.13654688,-89.99083843,"Southern , Live Music",Casual Dining,"Lunch, Dinner","Lafayette’s Music Room combines great Southern cooking with live music in an intimate venue. The menu includes traditional Southern dishes, with some vegetarian-friendly sides and options. Several dishes are listed as gluten-free, including Lettuce Wraps, Crispy Pork Belly, various salads such as the Grilled Salmon Salad and BLT Chopped Salad, and entrees like the Bone-In Pork Chop and Grilled Salmon. Guests enjoy local musical acts while dining in a cozy, laid-back environment, creating an authentic Memphis experience that blends food and culture.",0,1,0
Magnolia and May,East Memphis,"718 Mt Moriah Rd, Memphis, TN 38117",35.11147662,-89.89443075,"Southern , Bayou",Casual Dining,"Lunch, Dinner","Magnolia and May brings a fresh take on Southern Bayou cuisine with bold flavors and seasonal ingredients. The casual atmosphere pairs well with dishes like jambalaya and fried green tomatoes. Vegetarians will find options like vegetable sides and creative salads, while the kitchen is open to accommodating dietary preferences and restrictions, delivering a flavorful Southern dining experience.",0,1,0
McEwen's Memphis,Downtown Memphis,"120 Monroe Ave, Memphis, TN 38103",35.14419246,-90.05190373,"Southern , Contemporary",Fine Dining,"Dinner , Special Occasions","McEwen's Memphis offers a sophisticated dining experience with a seasonally driven menu focusing on local ingredients and creative dishes. The elegant atmosphere suits special occasions, with attentive service and options for vegetarian and gluten-free diners. The menu features expertly crafted entrees that highlight Southern flavors with a contemporary touch.",0,1,0
Memphis Chess Club,Downtown Memphis,"195 Madison Ave, Memphis, TN 38103",35.14442358,-90.04967179,"American , Bar & Grill",Casual Dining,"Lunch, Dinner","Memphis Chess Club is a laid-back bar and grill known for its friendly vibe and diverse menu of burgers, sandwiches, and appetizers. Vegetarian options such as salads and veggie burgers are available, and the venue often hosts chess games and community events, making it a unique spot for socializing and casual dining.",0,0,0
Owen Brennan's Restaurant,East Memphis,"6150 Poplar Ave #150, Memphis, TN 38119",35.10226392,-89.85673758,"Seafood , Steakhouse",Fine Dining,"Dinner , Special Occasions","Owen Brennan’s Restaurant combines classic seafood and steakhouse fare with Southern hospitality in an elegant dining room. The menu offers fresh seafood, premium steaks, and vegetarian dishes, with gluten-free accommodations on request. Known for its refined atmosphere and quality service, it’s a go-to for celebratory dinners and upscale dining experiences.",0,1,0
Paulette’s Restaurant,Downtown Memphis,"50 Harbor Town Square, Memphis, TN 38103",35.16138783,-90.05554544,"Southern , Upscale",Fine Dining,"Dinner , Special Occasions","Paulette’s Restaurant serves upscale Southern cuisine with a focus on seasonal ingredients and sophisticated presentations. The elegant setting pairs well with the creative menu, which includes vegetarian and gluten-free options. Paulette’s is known for attentive service and a well-curated wine list, perfect for special occasions and intimate dinners.",0,1,0
Poparoos,Midtown,"726 North Pkwy, Memphis, TN 38107",35.97157218,-90.09883089,"Snack , Dessert","Casual , Quick Service","Snack , Light Meals","Poparoos is a gourmet popcorn bar offering a wide variety of handcrafted popcorn flavors, many of which are naturally gluten-free. With a playful and welcoming atmosphere, it’s a great spot for snacking, gift shopping, or hosting events. The menu includes sweet, savory, and seasonal blends, making it a fun and flavorful destination for all ages.",0,1,0
Porch and Parlor,Midtown,"2125 Madison Ave, Memphis, TN 38104",35.13655018,-89.99036755,"Southern , American","Casual , Upscale",Dinner,"Porch and Parlor combines Southern-inspired cuisine with craft cocktails in a cozy, stylish setting. The menu features locally sourced ingredients and offers vegetarian and gluten-free dishes. The inviting ambiance and creative drinks list make it a great spot for dinner or a casual night out.",0,1,0
R.P. Tracks Restaurant and Bar,—,"3547 Walker Ave, Memphis, TN 38111",35.11642895,-89.94418272,"American , Bar & Grill",Casual Dining,"Lunch, Dinner","R.P. Tracks Restaurant and Bar is a lively venue offering a diverse menu of burgers, sandwiches, and Southern classics. Vegetarian options like salads and veggie burgers are offered, alongside gluten-free accommodations. The friendly atmosphere and solid drink selection make it popular for casual dining and social events.",0,1,0
Restaurant Iris,Midtown,"4550 Poplar Ave, Memphis, TN 38117",35.12081701,-89.91031763,"Contemporary , Fine Dining",Fine Dining,"Dinner , Special Occasions","Restaurant Iris is a contemporary fine dining establishment featuring a seasonally inspired menu with a focus on fresh, local ingredients. The elegant ambiance and attentive service provide a refined experience. Vegetarian and gluten-free options are thoughtfully incorporated, making it a standout choice for special occasions or an elevated night out.",0,1,0
Ronnie Grisanti’s Italian Restaurant,East Memphis,"6150 Poplar Ave #122, Memphis, TN 38119",35.10292666,-89.85748874,"Italian , Classic","Casual , Family Style","Lunch, Dinner","Ronnie Grisanti’s Italian Restaurant offers classic Italian dishes crafted with fresh ingredients and traditional recipes. The cozy, family-friendly atmosphere complements a menu featuring pasta, seafood, and meat entrees, with vegetarian and gluten-free options available upon request. Known for generous portions and a welcoming vibe, it’s a favorite for authentic Italian dining in Memphis.",0,1,0
Sekisui Midtown,Midtown,"25 S Belvedere Blvd, Memphis, TN 38104",35.13722391,-90.00487418,"Japanese , Sushi","Casual , Upscale","Lunch, Dinner","Sekisui Midtown is a modern Japanese restaurant specializing in sushi and creative small plates. The sleek setting complements an extensive menu featuring fresh sushi, sashimi, and cooked dishes. Vegetarian sushi rolls and gluten-free options are available, catering to a range of dietary preferences. It’s popular for both casual dining and special occasions.",0,1,1
Sekisui Pacific Rim and Sushi Bistro,East Memphis,"4724 Poplar Ave, Memphis, TN 38117",35.11916553,-89.90503819,"Japanese , Sushi","Casual , Upscale","Lunch, Dinner","Sekisui Pacific Rim and Sushi Bistro blends traditional Japanese sushi with Pacific Rim influences, offering a diverse menu in a stylish atmosphere. Vegetarian and gluten-free options are included, highlighting fresh seafood and innovative flavor combinations. The restaurant is praised for its attentive service and vibrant ambiance, making it a top choice for sushi lovers.",0,1,1
Sheraton Memphis Downtown,Downtown Memphis,"250 N Main St, Memphis, TN 38103",35.15177548,-90.0496954,"American , Hotel Dining","Casual , Polished","Breakfast, Lunch, Dinner","The Sheraton Memphis Downtown restaurant serves a varied menu with Southern and American classics, ideal for hotel guests and locals alike. The casual yet polished dining room offers vegetarian and gluten-free options. With convenient downtown location and welcoming service, it’s a comfortable spot for breakfast, lunch, or dinner during visits to Memphis.",0,1,0
Silky O'Sullivans,Beale Street,"Located on the corner of Beale St &, 183 Beale Street, S B.B. King Blvd, Memphis, TN 38103",35.13955379,-90.05220895,"Irish , Pub",Casual Dining,"Lunch, Dinner","Silky O’Sullivans is a classic Irish pub and restaurant featuring hearty pub fare and a warm, inviting atmosphere. The menu includes traditional Irish dishes alongside Southern favorites, with vegetarian and gluten-free options available. Known for its friendly vibe and live music, it’s a popular gathering place for locals and visitors seeking a casual dining experience.",0,1,0
Soul Fish Cafe,Midtown,"862 Cooper St, Memphis, TN 38104",35.12233901,-89.99008455,"Southern , Seafood",Casual Dining,"Lunch, Dinner","Soul Fish Cafe specializes in Southern-style seafood, featuring fried fish, shrimp, and catfish with a variety of sides. The menu includes gluten-free and some vegetarian options, focusing on fresh, locally sourced ingredients. The casual, family-friendly environment is ideal for a relaxed meal with a taste of Memphis coastal flavors.",0,1,0
Soul Fish Cafe,East Memphis,"4720 Poplar Ave, Memphis, TN 38117",35.11591375,-89.90491056,"Southern , Seafood",Casual Dining,"Lunch, Dinner","Soul Fish Cafe specializes in Southern-style seafood, featuring fried fish, shrimp, and catfish with a variety of sides. The menu includes gluten-free and some vegetarian options, focusing on fresh, locally sourced ingredients. The casual, family-friendly environment is ideal for a relaxed meal with a taste of Memphis coastal flavors.",0,1,0
Soul Fish Cafe,Germantown,"3160 Village Shops Dr, Germantown, TN 38138",35.06486173,-89.75769138,"Southern , Seafood",Casual Dining,"Lunch, Dinner","Soul Fish Cafe specializes in Southern-style seafood, featuring fried fish, shrimp, and catfish with a variety of sides. The menu includes gluten-free and some vegetarian options, focusing on fresh, locally sourced ingredients. The casual, family-friendly environment is ideal for a relaxed meal with a taste of Memphis coastal flavors.",0,1,0
Terrace at The River Inn,Harbor Town,"50 Harbor Town Square, Memphis, TN 38103",35.16143951,-90.05505634,"Southern , American",Fine Dining,"Lunch, Dinner","The Terrace at The River Inn provides elegant dining with views of the Mississippi River. The menu features Southern and American dishes with vegetarian and gluten-free options, perfect for hotel guests and visitors. The refined atmosphere and attentive service make it ideal for relaxed meals with a scenic backdrop.",0,1,0
The Beauty Shop,Midtown,"966 Cooper St #5611, Memphis, TN 38104",35.12385124,-89.99080571,"Southern , American","Casual , Upscale","Lunch, Dinner","The Beauty Shop combines eclectic décor with a menu of Southern-inspired dishes and creative cocktails. Located in a historic beauty salon setting, it offers vegetarian and gluten-free options, emphasizing fresh, local ingredients. The vibrant atmosphere and inventive cuisine make it a popular spot for casual dinners and weekend gatherings.",0,1,0
The Brass Door Irish Pub,Terrace at River Inn,"152 Madison Ave, Memphis, TN 38103",35.14529652,-90.05097146,"Irish , Pub",Casual Dining,"Lunch, Dinner","The Brass Door Irish Pub features traditional Irish fare alongside American pub classics in a cozy, welcoming setting. The menu includes vegetarian and gluten-free options, making it accessible to many diners. Known for its friendly vibe and occasional live music, it’s a favored spot for casual dining and social drinks.",0,1,0
The Lookout at the Pyramid,Downtown Memphis,"1 Bass Pro Dr, Memphis, TN 38105",35.15585416,-90.05205157,"American , Bar & Grill","Casual , Upscale","Lunch, Dinner","Located atop the iconic Memphis Pyramid, The Lookout offers panoramic views alongside a menu of American bar and grill fare. The restaurant features vegetarian and gluten-free options and a wide selection of craft beers. It’s popular for its unique setting and vibrant atmosphere, making it a must-visit for locals and tourists alike.",0,1,0
The Majestic Grille,Downtown Memphis,"145 S Main St, Memphis, TN 38103",35.14155308,-90.05456353,"American , Upscale",Fine Dining,"Dinner , Special Occasions","The Majestic Grille blends historic ambiance with upscale American cuisine, featuring fresh seafood, steaks, and seasonal dishes. Vegetarian and gluten-free options are thoughtfully prepared to accommodate dietary needs. The elegant setting and attentive service make it ideal for special occasions or refined dining experiences.",0,1,0
The Peabody,Downtown Memphis,"149 Union Ave, Memphis, TN 38103",35.14281734,-90.05199423,"Southern , American",Fine Dining,"Lunch, Dinner","The Peabody’s restaurant offers classic Southern and American dishes in an elegant, historic hotel setting. The menu includes vegetarian and gluten-free options, showcasing local flavors and high-quality ingredients. Known for its iconic lobby and sophisticated atmosphere, it’s a premier dining destination in Memphis.",0,1,0
The Second Line,Midtown,"2144 Monroe Ave, Memphis, TN 38104",35.13556628,-89.99008148,"Southern , BBQ",Casual Dining,"Lunch, Dinner","The Second Line combines authentic BBQ with lively jazz music, creating a festive dining atmosphere. The menu features smoked meats and Southern sides, with some vegetarian and gluten-free options available. It’s a favorite spot for those looking to enjoy Memphis culture through food and live music.",0,1,0
Tin Roof Memphis,Beale Street,"315 Beale St, Memphis, TN 38103",35.1394184,-90.05090338,"American , Bar & Grill","Casual , Live Music","Lunch, Dinner","Tin Roof Memphis is a casual live music venue offering a menu of bar snacks, sandwiches, and Southern-inspired dishes. Vegetarian and gluten-free options are available. The venue is known for its energetic atmosphere, regular live performances, and friendly crowd, making it a hotspot for music lovers.",0,1,0
Tsunami Restaurant,Midtown,"928 Cooper St, Memphis, TN 38104",35.12046759,-89.99085013,"Japanese , Sushi , Asian Fusion","Casual , Upscale","Lunch, Dinner","Tsunami Restaurant provides a stylish dining experience with a menu featuring sushi, sashimi, and Asian fusion dishes. It offers vegetarian rolls and gluten-free options, catering to diverse dietary preferences. The sleek design and attentive service make it a top choice for sushi and Japanese cuisine in Memphis.",0,1,1
Tug's Restaurant,Downtown Memphis,"51 Harbor Town Square, Memphis, TN 38103",35.1610237,-90.05515695,"American , Bar & Grill",Casual Dining,"Lunch, Dinner","Tug’s Restaurant is a popular neighborhood bar and grill known for hearty American classics, burgers, and sandwiches. It offers vegetarian and gluten-free options, appealing to a wide range of diners. The casual, friendly atmosphere makes it a local favorite for relaxed meals and social gatherings.",0,1,0
Young Avenue Deli,Midtown,"2119 Young Ave, Memphis, TN 38104",35.11946015,-89.99155443,"Deli , Sandwiches","Casual , Neighborhood","Lunch, Dinner","Young Avenue Deli is a beloved Memphis spot known for its creative sandwiches, hearty deli classics, and casual vibe. The menu includes vegetarian and gluten-free options, with fresh ingredients and generous portions. It's a favorite for laid-back lunches and dinners.",0,1,0
America’s Incredible Pizza Company,Cordova,"1245 N Germantown Pkwy Suite 104, Cordova, TN 38016",35.15990659,-89.79772398,"American , Buffet","Family , Casual","Lunch, Dinner","America’s Incredible Pizza Company combines a 100‑item buffet—featuring over 30 pizzas, pastas, salads, desserts, and more—with a full indoor entertainment center including arcade games, go‑karts, mini‑golf, and rides. Guests can order custom pizzas with gluten‑free crust and vegan cheese, and buffet items traditionally suit various dietary preferences upon request.",1,1,1
Margie's 901 Homemade Ice Cream and Cakes,Downtown Memphis,"125 S Main St, Memphis, TN 38103",35.14172106,-90.05442314,"Dessert , Ice Cream","Quick Service , Casual","Snack , Dessert","Margie's 901 is a beloved dessert spot offering homemade ice cream and cakes made with local ingredients. Vegan and dairy-free ice cream flavors are often available, ensuring all dessert lovers can indulge. The cozy shop atmosphere makes it a perfect treat destination for families and anyone with a sweet tooth seeking quality, handcrafted desserts.",1,1,1
Westy’s,Downtown Memphis,"346 N Main St, Memphis, TN 38103",35.15426968,-90.04895513,"American , Comfort","Casual , Late-Night","Lunch, Dinner, Late Night","Westy’s in Memphis serves up funky charm and late-night comfort food with a twist. Known for its wild rice dishes and gluten-free fried catfish and shrimp, it also offers vegan-friendly options like sautéed veggies and rice bowls. With a quirky vibe, friendly staff, and generous portions—including the famous hot fudge pie—it’s a welcoming spot for diverse diets and lively gatherings, open daily until 2 AM.",1,1,1
Abyssinia Ethiopian Restaurant,Midtown,"2600 Poplar Ave #115, Memphis, TN 38112",35.13780939,-89.9743448,"Ethiopian , Vegan",Casual Dining,"Lunch, Dinner","Abyssinia offers traditional Ethiopian vegan dishes featuring injera, lentils, and vegetable stews packed with spices. The naturally gluten-free and vegan menu provides a unique cultural dining experience for plant-based eaters.",1,1,1
Andalusia,Midtown,"5101 Sanderlin Ave #103, Memphis, TN 38117",35.11657008,-89.89209966,Mediterranean,"Casual , Upscale","Lunch, Dinner","Andalusia serves Mediterranean with fresh salads, grilled vegetables, and hearty grain dishes. They have both traditional dishes and modern vegan options. Their menu also includes gluten-free options, focusing on wholesome, flavorful, and plant-based ingredients.",1,1,1
Another Broken Egg Cafe,East Memphis,"6063 Park Ave, Memphis, TN 38119",35.09925129,-89.86076278,"Breakfast , Brunch",Casual Dining,"Breakfast, Brunch","Another Broken Egg Cafe is a bright, cheerful spot serving both breakfast and brunch, with Southern-inspired classics, creative benedicts, and sweet treats like stuffed French toast. The cozy vibe makes it ideal for lingering mornings. The menu features vegetarian options, gluten-friendly dishes, and lighter fare, making it easy to enjoy a comforting yet customizable dining experience.",0,1,0
Another Broken Egg Cafe,Midtown,"65 S Highland St, Memphis, TN 38111",35.13047979,-89.94638139,"Breakfast , Brunch",Casual Dining,"Breakfast, Brunch","Another Broken Egg Cafe is a bright, cheerful spot serving both breakfast and brunch, with Southern-inspired classics, creative benedicts, and sweet treats like stuffed French toast. The cozy vibe makes it ideal for lingering mornings. The menu features vegetarian options, gluten-friendly dishes, and lighter fare, making it easy to enjoy a comforting yet customizable dining experience.",0,1,0
Babalu Tacos and Tapas,Midtown,"2115 Madison Ave, Memphis, TN 38104",35.13652494,-89.99087314,"Latin , Tapas","Casual , Social","Lunch, Dinner","Babalu Tacos and Tapas brings a lively, social dining style to Overton Square with its shareable Latin-inspired plates and handcrafted tacos. Vegetarian and gluten-free options are clearly marked, allowing guests to build a varied and inclusive meal full of bright, zesty flavors and fresh ingredients. They offer several vegan options, including a cauliflower taco, a black bean burger, and black bean fritters.",1,1,1
Bala’s Bistro,Midtown,"4571 Elvis Presley Blvd, Memphis, TN 38116",35.02386966,-90.02565335,"Mediterranean , Vegan","Casual , Upscale","Lunch, Dinner","Bala’s Bistro focuses on flavorful, wholesome vegan dishes inspired by Mediterranean and Middle Eastern cuisines. They offer many gluten-free and soy-free options, prepared with fresh herbs, grains, and vegetables.",1,1,1
Belltower Coffee,East Memphis,"6903 Great View Dr N, Cordova, TN 38018",35.13849504,-89.83290768,"Café , Coffeehouse","Casual , Café","Breakfast, Lunch","Belltower Coffee combines craft coffee service with a warm, inclusive vibe and a clean, airy setting, making it just as ideal for lunch as it is for your daily coffee fix. Alongside specialty drinks, you’ll find hearty options like bowls, salads, and a gluten-free hummus bowl. Vegetarian pastry choices, dairy-free milk substitutes, and gluten-free items such as a Grab & Go Yogurt Parfait and Fruit Cup ensure everyone can enjoy a comforting, personalized experience whether they’re stopping in for coffee or a satisfying lunch.",0,1,1
Belltower Coffee,University District,"525 S Highland St, Memphis, TN 38111",35.11730528,-89.94586813,"Café , Coffeehouse","Casual , Café","Breakfast, Lunch","Belltower Coffee combines craft coffee service with a warm, inclusive vibe and a clean, airy setting, making it just as ideal for lunch as it is for your daily coffee fix. Alongside specialty drinks, you’ll find hearty options like bowls, salads, and a gluten-free hummus bowl. Vegetarian pastry choices, dairy-free milk substitutes, and gluten-free items such as a Grab & Go Yogurt Parfait and Fruit Cup ensure everyone can enjoy a comforting, personalized experience whether they’re stopping in for coffee or a satisfying lunch.",0,1,1
Brother Juniper’s,East Memphis,"3519 Walker Ave, Memphis, TN 38111",35.1162583,-89.94506912,"Breakfast , Brunch",Casual Dining,"Breakfast, Brunch","Brother Juniper’s is a cozy, laid-back breakfast and brunch cafe known for its generous omelets, homemade breads, and friendly atmosphere near the University of Memphis. It’s a local favorite for students and families alike. Vegetarian and gluten-free options are clearly marked, and the menu emphasizes fresh, house-made ingredients, making it easy to customize to different dietary needs.",0,1,1
Cheffie’s Cafe,East Memphis,"483 High Point Terrace, Memphis, TN 38122",35.14507215,-89.93758397,"Café , Health-Focused","Casual , Build-Your-Own","Snack, Lunch","Cheffie’s is a casual cafe offering build-your-own salads and sandwiches with many vegan and gluten-free options. The menu highlights fresh, local ingredients, catering to a health-conscious crowd in a relaxed atmosphere.",1,1,1
Cheffie’s Cafe,Collierville,"956 E Winchester Blvd # 107, Collierville, TN 38017",35.03830177,-89.70452789,"Café , Health-Focused","Casual , Build-Your-Own","Snack, Lunch","Cheffie’s is a casual cafe offering build-your-own salads and sandwiches with many vegan and gluten-free options. The menu highlights fresh, local ingredients, catering to a health-conscious crowd in a relaxed atmosphere.",1,1,1
City Silo Table + Pantry,Midtown,"580 S Mendenhall Rd, Memphis, TN 38117",35.11508162,-89.89546547,"Vegan , Farm-to-Table",Casual Dining,"Breakfast, Lunch","City Silo Table + Pantry offers a vibrant farm-to-table vegan menu with organic, sustainably sourced ingredients, making it a go-to spot for health-conscious diners. Guests can enjoy both breakfast and lunch gluten-free, with options like gluten-free bread and the Hippie Scramble — a rice, egg, and kale dish topped with a serrano avocado spread. Alongside seasonal vegetables, grains, and legumes, the menu also includes many gluten-free and soy-free choices, ensuring a fresh and nourishing meal for every preference.",1,1,1
Crosstown Arts,Midtown,"1350 Concourse Ave #280, Memphis, TN 38104",35.15193937,-90.01371915,"Café , Community Space","Casual , Arts Hub","Snack, Lunch","Crosstown Arts offers a creative hub blending art galleries, performance spaces, and a bright, modern café featuring fresh, seasonal dishes and coffee. The café emphasizes vegetarian, gluten-free, and vegan-friendly options, with plenty of locally sourced ingredients. This space invites guests to linger, engage with art, and enjoy healthful meals in a vibrant community atmosphere.",1,1,1
DaGuiltyVegan,Midtown,"2053 N Houston Levee Rd, Cordova, TN 38016",35.18159006,-89.73396763,"Vegan , Comfort",Casual Dining,"Lunch, Dinner","DaGuiltyVegan serves indulgent vegan comfort foods such as ""fried chicken,"" BBQ, and mac & cheese, all 100% plant-based. Many items are gluten-free or can be made so on request, offering flavorful options for those craving classic comfort dishes without animal products.",1,1,1
Farm Burger,Midtown,"1350 Concourse Ave #175, Memphis, TN 38104",35.15214742,-90.01330738,"American , Burgers",Casual Dining,"Lunch, Dinner","Farm Burger focuses on serving high-quality, locally-sourced, and sustainably raised food. Their menu features a variety of burgers, including plant-based and vegan options, as well as classic hamburgers, sides, and shakes made from fresh, sustainable ingredients. Guests can enjoy gluten-free bun options and soy-free choices, making it easy to customize any burger or hamburger to fit a range of dietary needs.",1,1,1
Fluffy Vegan,Midtown,"7940 Fischer Steel Rd, Cordova, TN 38018",35.14749955,-89.79823066,"Vegan , Comfort",Casual Dining,"Breakfast, Lunch","Fluffy Vegan specializes in vegan comfort foods with a Southern twist, including pancakes, sandwiches, and desserts. The menu is entirely plant-based with gluten-free options available, ideal for casual dining with a vegan focus.",1,1,1
